StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q308,Q309,Q5,Q6,Q7,Q8,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,1_Q312,2_Q312,3_Q312,4_Q312,5_Q312,6_Q312,7_Q312,8_Q312,9_Q312,10_Q312,11_Q312,12_Q312,13_Q312,14_Q312,15_Q312,1_Q135,2_Q135,3_Q135,4_Q135,5_Q135,6_Q135,7_Q135,8_Q135,9_Q135,10_Q135,11_Q135,12_Q135,13_Q135,14_Q135,15_Q135,16_Q135,17_Q135,18_Q135,19_Q135,Q25,Q341,Q342,Q343,Q319,Q344,Q320,Q345,Q321,Q346,Q322,Q347,Q323,Q348,Q351,Q352,QID21,QID22,QID23,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q28_10,Q28_11,Q28_12,Q28_13,Q28_14,Q28_15,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q31_9,Q32,Q33,Q34,Q35,Q36,ID
2026/4/7 16:25,2026/4/7 16:30,0,119.171.172.116,100,338,1,2026/4/7 16:30,R_4KUib3fFPzcjMtn,,,,,35.7238,139.9369,anonymous,JA,1,1,,2,29,1,1,2,1,2,1,1,1,2,1,2,2,1,1,2,6,4,6,2,4,4,3,3,2,7,3,6,8,7,6,4,5,8,5,4,8,4,5,4,5,7,8,1,1,5,7,7,7,1,300,2,72,2,6,2,120,2,30,2,40,2,9,2,20,2,2,2,1,2,1,1,2,2,2,1,1,2,1,3,5,2,4,1,3,5,6,2,3,5,3,6,4,3,6,3,2,5,3,5,,,,,,,,,,2,1,,1,,94683765
2026/4/7 16:38,2026/4/7 16:44,0,182.249.78.238,100,351,1,2026/4/7 16:44,R_9is7ci1DEy4u27M,,,,,33.5993,130.4152,anonymous,JA,1,1,,1,30,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,7,4,2,3,4,3,3,3,2,4,3,2,3,3,2,4,5,5,5,4,5,4,7,7,5,5,7,5,5,5,4,7,4,5,150,1,72,2,11,1,125,2,29,2,40,2,6,2,15,2,2,1,1,1,2,2,2,2,2,2,1,1,3,3,6,3,3,3,2,4,4,4,4,4,4,3,2,4,2,4,4,5,3,5,,,,,,,,,,2,1,,1,,94245092
2026/4/7 16:07,2026/4/7 16:13,0,116.58.183.63,100,362,1,2026/4/7 16:13,R_4dhDQuXN62m68sK,,,,,35.69,139.69,anonymous,JA,1,1,,1,31,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,5,3,6,4,4,4,4,5,3,6,4,4,3,6,6,5,4,4,4,7,4,4,7,7,4,7,5,4,4,7,7,4,7,7,300,2,14,2,6,2,120,2,31,2,40,2,9,2,20,2,2,1,2,1,1,1,2,1,2,2,2,2,3,4,5,4,4,3,4,3,4,4,3,4,3,4,4,4,5,4,3,5,4,5,,,,,,,,,,2,1,,1,,95635924
2026/4/7 16:53,2026/4/7 16:59,0,49.239.73.113,100,368,1,2026/4/7 16:59,R_938Ey3qf25AlHN8,,,,,35.69,139.69,anonymous,JA,1,1,,1,28,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,7,8,6,4,7,7,4,3,6,7,7,3,4,7,5,7,5,7,7,5,7,5,7,1,5,7,5,7,4,7,8,5,4,4,300,2,72,2,11,2,125,2,29,2,40,2,3,2,20,2,1,2,1,2,1,2,1,2,1,1,2,1,4,4,4,3,4,3,3,4,5,4,4,3,3,3,4,5,4,5,5,5,5,4,,,,,,,,,,2,1,,1,,61110787
2026/4/7 16:52,2026/4/7 16:58,0,182.249.78.238,100,373,1,2026/4/7 16:58,R_9DcK1HXfM6d7xKv,,,,,33.5993,130.4152,anonymous,JA,1,,1,1,34,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,4,5,5,4,4,7,4,4,6,4,6,4,5,3,4,4,7,7,4,5,4,5,4,7,5,5,5,5,7,7,7,7,7,5,150,1,14,2,11,1,125,1,29,2,30,2,6,1,10,2,1,2,2,2,1,1,2,2,1,1,1,1,4,4,4,5,3,4,3,3,3,3,2,4,4,5,4,5,4,3,4,5,4,2,,,,,,,,,,2,1,,1,,59259418
2026/4/7 16:13,2026/4/7 16:20,0,131.129.109.86,100,393,1,2026/4/7 16:20,R_9QMfQn46l1SuNMy,,,,,33.9971,130.9457,anonymous,JA,1,1,,1,37,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,6,5,3,5,5,6,2,2,3,5,8,4,2,4,6,7,5,4,7,4,4,5,1,4,7,4,7,7,4,7,4,7,5,7,150,2,14,2,6,2,140,2,30,2,30,2,6,2,20,2,1,2,2,2,2,1,1,2,1,1,1,1,4,5,3,4,6,4,5,4,4,5,2,4,3,4,3,3,4,4,2,4,3,5,,,,,,,,,,2,1,,1,,18662424
2026/4/7 16:44,2026/4/7 16:51,0,182.249.78.238,100,395,1,2026/4/7 16:51,R_9CfxW2bE8A6sN2p,,,,,33.5993,130.4152,anonymous,JA,1,1,,1,33,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,3,4,4,4,4,5,6,4,5,5,4,3,6,4,4,4,5,4,4,7,4,5,7,7,5,7,5,5,4,7,7,8,7,5,150,1,72,2,11,2,120,2,29,1,40,1,10,2,20,2,1,2,1,1,1,1,1,1,1,2,1,1,4,2,3,5,2,5,4,5,3,2,4,5,5,4,5,3,5,4,4,5,1,3,,,,,,,,,,2,1,,1,,56500220
2026/4/7 16:07,2026/4/7 16:14,0,103.5.140.185,42,414,0,,FS_4mV699jkuGydgGm,,,,,,,anonymous,JA,1,1,,1,42,1,1,1,1,2,2,1,2,1,2,2,2,2,1,2,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,5,3,4,1,4,5,5,1,1,6,4,4,5,3,5,3,5,,,,,,,,,,,,,,,
2026/4/7 16:12,2026/4/7 16:19,0,58.188.61.148,100,419,1,2026/4/7 16:19,R_9CjJ0VSlqykcoiR,,,,,34.8326,134.6722,anonymous,JA,1,1,,1,50,1,1,1,1,2,2,1,2,1,1,2,1,1,1,2,9,8,7,8,9,8,7,8,6,8,8,9,7,8,7,5,5,5,5,5,8,1,5,8,4,5,4,5,5,5,4,8,7,4,300,2,14,2,6,2,120,2,16,2,40,2,1,2,20,2,1,1,2,2,1,1,1,1,2,1,1,2,3,2,4,3,5,3,5,3,4,4,5,4,5,4,3,5,4,5,5,6,4,5,,,,,,,,,,2,1,,1,よろしくお願いぁ�します�,32536264
2026/4/7 16:25,2026/4/7 16:33,0,49.97.11.110,100,445,1,2026/4/7 16:33,R_4X1az21PCncGGul,,,,,34.7006,137.871,anonymous,JA,1,1,,1,34,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,2,4,3,3,2,3,4,3,4,4,3,3,3,3,4,5,4,7,4,4,7,5,4,7,7,1,7,7,4,5,4,7,7,7,150,2,72,2,11,2,125,2,29,2,30,2,4,2,15,2,2,2,2,1,1,1,2,2,2,1,1,1,3,3,5,3,4,5,3,2,3,3,4,5,3,2,3,3,5,6,2,3,2,2,,,,,,,,,,2,1,,1,,29659243
2026/4/7 16:31,2026/4/7 16:39,0,118.241.250.78,100,447,1,2026/4/7 16:39,R_9NVPUKU0xCfUSgX,,,,,35.69,139.69,anonymous,JA,1,1,,1,51,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,5,8,2,6,7,6,8,5,6,9,6,7,3,7,7,5,5,1,7,7,1,5,7,7,1,1,4,7,7,4,7,4,7,7,150,2,72,2,11,2,125,2,29,2,30,2,4,2,15,2,2,2,1,2,2,2,2,2,1,2,1,1,5,3,6,5,3,6,5,3,6,5,3,5,5,3,5,2,6,6,3,3,6,3,,,,,,,,,,2,1,,1,,75710553
2026/4/7 16:07,2026/4/7 16:15,0,60.113.96.54,100,453,1,2026/4/7 16:15,R_4VPWbyCeBQ4E0y2,,,,,35.69,139.69,anonymous,JA,1,1,,1,38,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,4,4,5,4,4,5,4,4,5,4,4,4,5,5,4,4,4,4,4,4,7,4,7,1,7,4,4,7,7,4,7,4,7,7,300,2,14,2,2,2,80,2,30,2,31,2,3,2,20,2,2,2,2,2,2,1,2,1,2,1,2,1,3,3,5,3,3,3,3,4,3,4,3,4,3,3,3,4,3,3,5,4,3,4,,,,,,,,,,2,1,,1,,30875069
2026/4/7 16:22,2026/4/7 16:29,0,182.249.78.238,100,470,1,2026/4/7 16:29,R_4L9BMIyYj1NECiJ,,,,,33.5993,130.4152,anonymous,JA,1,1,,1,34,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,4,5,4,3,5,5,3,4,3,6,3,2,2,3,2,4,5,5,5,5,4,7,5,7,4,4,4,5,4,4,4,7,4,5,150,1,72,1,11,1,115,2,29,1,40,2,6,2,20,2,1,2,2,1,2,2,2,1,2,1,2,2,4,4,4,3,4,4,3,4,4,3,3,5,4,3,4,5,4,4,4,6,4,4,,,,,,,,,,2,1,,1,,39632531
2026/4/7 16:22,2026/4/7 16:30,0,104.28.161.24,100,489,1,2026/4/7 16:30,R_4NNMgGGrGKtQoMx,,,,,34.4085,135.3412,anonymous,JA,1,1,,2,48,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,6,7,3,6,6,6,9,3,4,8,6,7,3,5,8,5,5,7,7,7,1,5,4,7,7,7,4,7,7,4,4,7,7,7,150,2,72,2,11,2,125,2,29,2,30,2,4,2,15,2,2,2,1,2,2,2,2,2,1,2,1,1,4,2,5,5,2,6,4,3,5,4,2,5,5,3,5,2,5,5,2,3,5,2,,,,,,,,,,2,1,,1,,44802177
2026/4/7 16:06,2026/4/7 16:15,0,115.36.7.185,28,494,0,,FS_9InRzTfihj62lnG,,,,,,,anonymous,JA,1,1,,1,36,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/4/7 16:07,2026/4/7 16:16,0,182.249.78.238,100,548,1,2026/4/7 16:16,R_99n3AtM4jhjTb8R,,,,,33.5993,130.4152,anonymous,JA,1,1,,1,36,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,6,3,5,4,5,6,4,6,5,3,4,4,3,6,4,5,5,4,7,4,5,5,4,7,4,4,4,5,4,4,5,5,7,7,150,1,72,2,11,1,120,2,29,2,40,2,6,2,20,2,2,1,2,2,2,2,2,1,1,2,2,2,3,4,4,5,3,3,3,4,5,4,1,3,4,3,6,5,6,5,4,5,5,5,,,,,,,,,,2,1,,1,,22089129
2026/4/7 16:25,2026/4/7 16:35,0,58.188.61.148,100,577,1,2026/4/7 16:35,R_9dGjuWsnmIIwsTS,,,,,34.8326,134.6722,anonymous,JA,1,1,,2,48,1,1,2,1,2,1,1,1,1,1,2,1,1,2,2,9,7,7,7,7,9,7,6,8,8,8,8,8,8,9,8,5,5,4,5,5,7,5,5,4,5,4,4,4,5,4,5,4,4,300,2,72,2,1,2,120,2,15,2,40,2,6,2,20,2,1,2,1,2,1,1,1,2,2,2,2,1,5,5,4,4,5,5,6,4,4,5,4,4,4,5,5,3,4,3,3,3,5,5,,,,,,,,,,2,1,,1,,64549276
2026/4/7 16:16,2026/4/7 16:26,0,138.64.245.188,100,586,1,2026/4/7 16:26,R_45yf4Excd9LhgAP,,,,,35.0203,135.7602,anonymous,JA,1,1,,1,22,1,1,1,2,2,1,1,2,2,1,2,1,2,2,2,9,4,5,7,3,4,7,6,7,5,7,6,3,6,5,4,1,4,4,4,4,8,7,7,7,5,8,8,7,7,1,5,4,5,150,1,72,2,11,2,125,2,31,2,30,2,4,1,15,2,2,2,2,1,1,2,2,1,2,2,1,2,4,5,5,5,4,5,4,6,5,6,5,4,5,2,3,6,5,3,6,5,5,4,,,,,,,,,,2,1,,1,,84824495
2026/4/7 16:06,2026/4/7 16:16,0,114.146.0.136,100,595,1,2026/4/7 16:16,R_93qWlF8VTwK43mq,,,,,36.4254,138.2614,anonymous,JA,1,1,,1,45,1,1,1,1,2,2,1,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,7,7,1,1,1,1,1,1,1,1,4,1,1,4,1,1,300,2,14,2,2,2,120,2,15,2,50,2,3,2,30,2,1,2,1,2,1,1,1,1,2,2,2,1,4,4,6,4,4,4,5,3,4,5,5,4,4,5,4,4,5,4,4,4,5,3,,,,1,,,,,,2,1,,1,,29198810
2026/4/7 16:08,2026/4/7 16:18,0,153.240.14.128,100,596,1,2026/4/7 16:18,R_9KwEHAcKNGY9yr8,,,,,35.6918,139.7002,anonymous,JA,1,1,,2,39,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,3,7,1,1,1,1,6,2,2,4,4,4,7,2,7,7,1,8,4,5,7,7,5,7,4,1,5,7,5,5,1,4,1,1,300,2,14,2,11,2,120,2,1,2,40,2,2,2,30,2,2,2,1,2,1,1,1,2,2,1,1,2,5,3,3,5,5,4,2,2,1,2,2,2,3,1,1,2,1,1,1,2,2,2,,,,,,,,,,2,1,,1,,68436726
2026/4/7 16:49,2026/4/7 16:59,0,169.197.83.34,100,612,1,2026/4/7 16:59,R_1q3POPwG29qyR9J,,,,,37.751,-97.822,anonymous,JA,1,1,,1,41,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,5,1,4,4,1,2,2,6,5,1,2,2,5,5,4,7,7,7,7,7,5,4,5,1,4,5,4,7,4,5,4,1,1,150,2,72,2,11,2,125,2,29,2,30,2,7,2,20,2,1,1,2,1,2,2,2,2,1,1,1,2,4,2,6,4,2,5,6,2,4,5,3,5,3,1,4,7,6,7,1,2,2,2,,,,,,,,,,2,1,,1,,27833429
2026/4/7 16:07,2026/4/7 16:17,0,101.141.140.230,100,630,1,2026/4/7 16:17,R_9nACTwfDAaTFndk,,,,,35.0231,135.752,anonymous,JA,1,1,,2,38,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,3,2,6,4,4,7,3,2,7,4,2,3,4,8,7,5,5,7,5,7,7,7,7,1,7,5,5,1,7,5,5,1,1,150,2,72,2,11,2,500,2,31,2,40,2,4,2,15,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,6,5,5,2,2,5,5,4,4,4,2,2,5,5,5,3,3,,,,,,,,,,2,1,,1,,77149856
2026/4/7 16:13,2026/4/7 16:24,0,119.171.172.116,100,651,1,2026/4/7 16:24,R_4NmNTobX91yNMfp,,,,,35.7238,139.9369,anonymous,JA,1,1,,2,24,1,1,2,2,2,1,2,2,1,1,2,1,2,1,2,2,6,5,4,7,6,8,7,5,7,2,8,6,3,4,5,7,7,7,5,4,4,5,5,1,7,5,4,7,1,8,1,8,7,300,2,72,2,6,2,120,2,30,2,40,2,9,2,20,2,1,1,2,2,1,2,2,1,2,2,1,1,5,2,3,5,2,3,4,3,4,5,2,3,5,3,2,6,2,4,5,3,1,3,,,,,,,,,,2,1,,1,,96692917
2026/4/7 16:11,2026/4/7 16:22,0,116.94.172.76,100,663,1,2026/4/7 16:22,R_9sZb4xajHsWffXz,,,,,32.9354,129.9499,anonymous,JA,1,1,,2,33,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,3,3,3,6,5,7,3,6,8,6,2,1,6,8,4,4,7,7,5,7,4,4,7,5,5,7,7,5,4,5,5,4,4,2700,1,62,2,3,1,105,1,29,1,40,1,8,1,15,1,2,1,1,2,2,1,2,2,2,1,1,1,4,3,3,3,5,5,3,3,3,3,3,3,3,4,5,5,5,6,3,5,3,2,,,,,,,,,,1,1,,1,,14733193
2026/4/7 16:07,2026/4/7 16:18,0,210.143.124.171,100,704,1,2026/4/7 16:18,R_9xJDJVCzSPCUkZb,,,,,39.7046,140.1289,anonymous,JA,1,1,,2,34,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,5,1,1,1,1,1,2,5,4,1,4,5,4,8,5,1,4,4,4,7,7,7,4,1,1,1,150,2,72,2,11,2,125,2,29,2,30,2,4,2,15,2,1,2,1,2,2,2,1,2,1,2,2,2,4,3,5,4,2,5,2,2,6,6,4,4,4,4,4,5,5,6,2,4,5,3,,,,,,,,,,2,1,,1,,68987446
2026/4/7 16:07,2026/4/7 16:19,0,210.157.194.29,100,729,1,2026/4/7 16:19,R_4rrwwsr8lkylOml,,,,,35.69,139.69,anonymous,JA,1,1,,1,47,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,7,6,5,7,7,5,7,7,7,6,7,6,5,7,8,4,4,4,4,5,5,5,4,4,7,4,5,7,4,5,5,4,5,4,300,2,14,2,6,2,80,2,30,2,40,2,2,2,40,2,1,1,1,1,1,2,2,1,1,1,1,2,4,4,6,5,5,6,6,6,6,6,6,6,6,6,6,2,6,4,3,5,6,5,,,,,,,,,,2,1,,1,,49444654
2026/4/7 16:34,2026/4/7 16:47,0,115.179.109.239,100,745,1,2026/4/7 16:47,R_65ZLGM6aK9RnopH,,,,,25.7701,-80.1928,anonymous,JA,1,1,,1,41,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,4,5,6,6,6,7,6,8,8,9,7,7,7,6,8,8,5,5,5,5,5,4,5,5,4,5,5,8,5,8,5,4,4,4,150,2,62,2,11,2,125,2,29,2,30,2,8,2,20,2,1,2,2,2,1,2,2,1,1,1,1,1,6,4,4,4,3,4,6,3,4,4,3,4,4,2,3,7,5,7,1,6,4,2,,,,,,,,,,2,1,,1,,93999642
2026/4/7 16:34,2026/4/7 16:47,0,169.197.85.170,100,749,1,2026/4/7 16:47,R_10epetISaDIBzQS,,,,,37.751,-97.822,anonymous,JA,1,1,,2,47,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,3,4,4,2,4,2,3,3,3,2,3,3,3,2,7,7,7,7,1,7,8,4,7,1,7,4,7,7,4,4,1,1,1,150,2,72,2,11,2,120,2,30,2,30,2,7,2,20,2,2,1,2,1,1,1,2,2,1,1,1,2,4,3,4,3,1,4,6,3,3,3,2,5,3,2,3,6,5,7,3,6,5,4,,,,,,,,,,2,1,,1,,14522858
2026/4/7 16:34,2026/4/7 16:46,0,114.163.130.27,100,753,1,2026/4/7 16:46,R_4fsH6udVCaYTDxL,,,,,35.6776,138.5761,anonymous,JA,1,1,,1,28,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,150,2,72,2,11,2,125,2,29,2,30,2,4,2,15,2,1,2,1,2,2,2,1,2,1,2,1,2,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,4,5,5,4,4,4,3,,,,,,,,,,1,1,,1,,79673102
2026/4/7 16:08,2026/4/7 16:20,0,14.13.132.0,100,767,1,2026/4/7 16:20,R_9wNtukqFNlfuyaj,,,,,34.7244,135.3358,anonymous,JA,1,1,,1,47,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,6,6,3,6,6,7,8,4,5,8,6,7,5,6,8,4,5,7,7,7,7,5,7,7,4,7,5,7,7,5,4,7,7,7,150,2,72,2,11,2,120,2,29,2,30,2,4,2,15,2,2,2,1,2,1,2,2,2,2,1,1,1,4,2,5,4,3,5,4,3,5,4,3,4,4,3,4,3,6,5,3,4,3,2,,,,,,,,,,2,1,,1,,68535423
2026/4/7 16:18,2026/4/7 16:31,0,115.179.109.239,100,784,1,2026/4/7 16:31,R_9gdnDUOmJms0xI5,,,,,33.6086,130.3927,anonymous,JA,1,1,,2,43,1,1,2,2,1,2,1,2,1,1,2,1,2,1,2,5,6,8,7,7,2,7,6,7,8,5,7,5,8,6,8,5,5,5,5,5,7,5,5,7,5,8,5,4,5,5,4,4,4,150,2,14,2,11,2,140,2,29,2,30,2,7,2,20,2,2,1,1,2,1,1,2,1,2,1,1,2,5,4,5,5,4,6,6,4,5,5,6,5,5,4,5,6,5,6,6,6,6,5,,,,,,,,,,2,1,,1,,73025284
2026/4/7 16:07,2026/4/7 16:20,0,60.124.184.5,100,795,1,2026/4/7 16:20,R_9RkA6BSTg3swjqz,,,,,35.69,139.69,anonymous,JA,1,1,,2,31,1,1,1,2,2,1,1,2,2,1,1,2,1,1,2,5,7,3,4,4,4,5,7,8,7,6,6,6,6,7,5,7,4,7,5,5,4,5,7,5,5,5,7,5,5,8,8,1,1,150,2,72,2,11,2,125,2,29,2,30,2,4,2,15,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,5,4,1,4,2,2,2,5,4,3,5,2,5,4,6,3,4,2,3,6,,,,,,,,,1,2,1,,1,,67959352
